wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
1.802402402402402348e+00 5.670215970166508690e+00 1.096344458726920266e+03 4.587401144626298446e+03
1.816216216216216317e+00 5.674822518946688987e+00 1.120519357447053153e+03 4.593656746919194120e+03
1.830030030030030064e+00 5.432455797440958634e+00 1.143526577265531159e+03 4.636361726665457354e+03
1.843843843843843811e+00 5.307223033344273588e+00 1.167286894271177971e+03 4.648422647455086008e+03
1.857657657657657779e+00 5.426121291265541657e+00 1.191728874674683993e+03 4.663367837147031423e+03
1.871471471471471526e+00 5.406870683468091521e+00 1.214650919007362063e+03 4.673197247868517479e+03
1.885285285285285273e+00 5.391738927117633473e+00 1.238356378498442837e+03 4.687082889376916683e+03
1.899099099099099019e+00 5.230741037596452259e+00 1.261422915763645960e+03 4.719046476338265165e+03
1.912912912912912988e+00 5.343977727206241646e+00 1.284329014206321744e+03 4.707606361705384188e+03
1.926726726726726735e+00 5.665204794331937244e+00 1.307874373741593445e+03 4.721699807154022892e+03
1.940540540540540482e+00 5.392923732660855229e+00 1.329831419612013178e+03 4.726475880241766390e+03
1.954354354354354451e+00 5.416330387847454020e+00 1.351952776252544027e+03 4.730515051845318339e+03
1.968168168168168197e+00 5.479930381180493804e+00 1.373236621597042586e+03 4.738874493555369554e+03
1.981981981981981944e+00 5.542766069152357034e+00 1.394893111156458872e+03 4.743834949813713138e+03
1.995795795795795913e+00 5.739198655877168598e+00 1.416769910555262413e+03 4.754091537639979833e+03
2.009609609609609659e+00 5.568092912042312825e+00 1.437232768787047462e+03 4.771096350240518404e+03
2.023423423423423628e+00 5.870546125584619190e+00 1.458366826822809116e+03 4.757240952818242476e+03
2.037237237237237597e+00 5.856744780804889139e+00 1.478424231149122761e+03 4.747048349962996326e+03
2.051051051051051122e+00 5.818174668541138850e+00 1.499176832645071499e+03 4.756167094459894543e+03
2.064864864864865091e+00 5.941439923352334063e+00 1.519006846718784118e+03 4.755899161467700651e+03
2.078678678678678615e+00 5.964498725880523544e+00 1.538356666148742306e+03 4.763644223940049415e+03
2.092492492492492584e+00 6.034083869266732236e+00 1.557549113115544742e+03 4.746421229945761297e+03
2.106306306306306553e+00 6.354161284520096764e+00 1.576577236825245564e+03 4.743696829749710560e+03
2.120120120120120077e+00 6.378055273391902702e+00 1.594946650540719020e+03 4.756390799768963006e+03
2.133933933933934046e+00 6.588991752722297868e+00 1.613273561245972132e+03 4.728836625836121129e+03
2.147747747747748015e+00 6.483878567572300078e+00 1.631254796446006821e+03 4.715305025947568538e+03
2.161561561561561540e+00 6.706856733264818793e+00 1.648146455323400687e+03 4.719597140436353584e+03
2.175375375375375508e+00 6.893782642026168084e+00 1.664893309143965325e+03 4.687858585044539723e+03
2.189189189189189477e+00 7.279398760680073188e+00 1.681924124238148579e+03 4.701484198543193088e+03
2.203003003003003446e+00 7.108344318151373464e+00 1.698928274201328804e+03 4.703745173725018503e+03
2.216816816816816971e+00 7.337840463960022319e+00 1.714933642634892976e+03 4.682874752091521259e+03
2.230630630630630939e+00 7.530704212908260864e+00 1.729583055799077783e+03 4.635521727681321863e+03
2.244444444444444908e+00 7.756318472967150157e+00 1.745256797832764960e+03 4.660663655021973682e+03
2.258258258258258433e+00 8.062988921886523386e+00 1.760730241502930539e+03 4.657089066186978016e+03
2.272072072072072402e+00 8.276613867912963940e+00 1.775661362358386896e+03 4.619507977607770954e+03
2.285885885885886371e+00 8.463658452722878422e+00 1.788211077935843377e+03 4.611549081731101069e+03
2.299699699699699895e+00 8.729717768386446863e+00 1.802599506642238566e+03 4.592531559239097987e+03
2.313513513513513864e+00 9.039939681051347264e+00 1.816389800693978714e+03 4.569792410728347022e+03
2.327327327327327389e+00 9.183857869716465672e+00 1.828700162555943962e+03 4.552331460561719723e+03
2.341141141141141357e+00 9.549711147933271249e+00 1.840791765966057710e+03 4.540440534968325665e+03
2.354954954954955326e+00 9.732261222499687392e+00 1.853653068970497998e+03 4.531985948859986820e+03
2.368768768768768851e+00 9.973878616021174537e+00 1.866241812383834940e+03 4.509084247164926637e+03
2.382582582582582820e+00 1.029974612590637939e+01 1.876621549159570350e+03 4.484213824039645260e+03
2.396396396396396788e+00 1.101299739130576150e+01 1.889475793415514318e+03 4.482170046869225189e+03
2.410210210210210313e+00 1.099940634509940196e+01 1.899337291065348154e+03 4.465450063136507197e+03
2.424024024024024282e+00 1.138969495188176495e+01 1.910274583642305515e+03 4.450201776139870162e+03
2.437837837837838251e+00 1.167008876453627941e+01 1.920211908499288711e+03 4.420472514424292058e+03
2.451651651651651775e+00 1.202352400641937713e+01 1.929744037891164680e+03 4.402961310639680050e+03
2.465465465465465744e+00 1.254247513459462660e+01 1.938898808096028688e+03 4.385204336179335769e+03
2.479279279279279713e+00 1.264954046682391464e+01 1.948441189566717867e+03 4.366291010097693288e+03
